DIRECTORIO,se_siente_inseguro_barrio,se_siente_inseguro_ciudad,inseguro_caminando_solo_noche,inseguro_caminando_solo_dia,la_seguridad_en_los_ultimos_6_meses,puede_ser_victima_delito,inseguro_trabajo/estudio,inseguro_parques,inseguro_lugares_comerciales,inseguro_transporte_publico,inseguro_puentes_peatonales,inseguro_discotecas,causa_delincuencia,hurto_celulares_aumento,ladrones_pandillas_aumento,vendedores_droga_aumento,pobreza_aumento,desempleo_aumento,inmigrante_aumento,venta_compra_articulos_robados,habitantes_calle_aumento,prostitucion_aumento,extorcion_aumento,satisfecho_vida,satisfecho_situacion_economica,satisfecho_situacion_laboral
600018,2,2,2,3,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,el consumo de drogas,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,4,4,3
600019,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,el consumo de drogas,disminuyo,disminuyo,disminuyo,aumento,aumento,aumento,no sabe,aumento,disminuyo,no sabe,4,4,4
600019,2,2,2,3,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,el consumo de drogas,disminuyo,disminuyo,disminuyo,aumento,aumento,disminuyo,disminuyo,aumento,disminuyo,disminuyo,5,5,5
600020,2,2,2,2,disminuyo,no,inseguro,no frecuenta parques,inseguro,inseguro,no frecuenta puentes y peatonales,5,falta de educacion,no sabe,no sabe,no sabe,no sabe,disminuyo,no sabe,no sabe,no sabe,no sabe,no sabe,5,4,5
600020,2,2,2,2,disminuyo,no,inseguro,no frecuenta parques,inseguro,inseguro,no frecuenta puentes y peatonales,5,desempleo,no sabe,no sabe,no sabe,aumento,disminuyo,aumento,no sabe,no sabe,no sabe,no sabe,5,4,4
600021,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,el consumo de drogas,disminuyo,disminuyo,disminuyo,disminuyo,aumento,aumento,no sabe,aumento,disminuyo,no sabe,3,4,5
600021,2,2,2,2,disminuyo,no,inseguro,seguro,inseguro,inseguro,inseguro,2,el consumo de drogas,no sabe,aumento,disminuyo,aumento,aumento,aumento,no sabe,aumento,disminuyo,no sabe,4,4,3
600022,2,2,2,2,disminuyo,si,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,2,el consumo de drogas,aumento,disminuyo,no sabe,aumento,disminuyo,aumento,no sabe,disminuyo,no sabe,aumento,5,4,5
600022,1,1,1,1,aumento,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,1,ley poco dura contra delincuentes,disminuyo,no sabe,no sabe,aumento,disminuyo,aumento,aumento,disminuyo,no sabe,aumento,5,5,5
600023,2,2,2,2,disminuyo,si,inseguro,inseguro,inseguro,no toma transporte publico,no frecuenta puentes y peatonales,5,falta de educacion,no sabe,disminuyo,no sabe,disminuyo,disminuyo,aumento,no sabe,no sabe,no sabe,no sabe,5,5,5
600024,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,2,ley poco dura contra delincuentes,disminuyo,disminuyo,disminuyo,aumento,disminuyo,aumento,aumento,disminuyo,no sabe,aumento,5,5,5
600025,2,3,2,2,disminuyo,si,inseguro,no frecuenta parques,seguro,seguro,no frecuenta puentes y peatonales,5,falta de educacion,no sabe,no sabe,no sabe,disminuyo,disminuyo,aumento,no sabe,no sabe,no sabe,no sabe,5,5,5
600025,2,3,5,2,disminuyo,no,inseguro,no frecuenta parques,seguro,seguro,no frecuenta puentes y peatonales,5,el consumo de drogas,no sabe,no sabe,no sabe,disminuyo,disminuyo,no sabe,no sabe,no sabe,no sabe,aumento,5,5,5
600025,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,2,falta de educacion,no sabe,no sabe,no sabe,no sabe,disminuyo,aumento,no sabe,no sabe,no sabe,no sabe,5,5,5
600025,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,2,desempleo,no sabe,no sabe,no sabe,aumento,disminuyo,no sabe,no sabe,no sabe,no sabe,no sabe,5,5,5
600026,1,1,1,1,aumento,no,inseguro,inseguro,inseguro,inseguro,inseguro,1,falta de educacion,no sabe,no sabe,no sabe,disminuyo,disminuyo,no sabe,no sabe,disminuyo,no sabe,no sabe,5,5,5
600026,1,1,1,1,aumento,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,5,falta de educacion,no sabe,disminuyo,no sabe,disminuyo,disminuyo,aumento,disminuyo,disminuyo,no sabe,no sabe,5,5,5
600027,2,3,2,2,disminuyo,no,inseguro,seguro,seguro,no toma transporte publico,no frecuenta puentes y peatonales,5,ley poco dura contra delincuentes,no sabe,no sabe,no sabe,aumento,aumento,aumento,no sabe,no sabe,no sabe,aumento,5,4,5
600027,1,1,1,1,aumento,no,seguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,5,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,5,5,9
600028,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,el consumo de drogas,no sabe,no sabe,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,disminuyo,5,5,5
600028,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,el consumo de drogas,no sabe,no sabe,no sabe,aumento,disminuyo,disminuyo,disminuyo,disminuyo,no sabe,disminuyo,5,5,5
600029,1,2,2,2,aumento,si,inseguro,inseguro,inseguro,no toma transporte publico,no frecuenta puentes y peatonales,5,el consumo de drogas,disminuyo,disminuyo,no sabe,disminuyo,disminuyo,aumento,disminuyo,disminuyo,no sabe,no sabe,5,5,5
600030,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,el consumo de drogas,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,5,5,5
600030,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,seguro,3,desempleo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,no sabe,no sabe,disminuyo,disminuyo,no sabe,2,3,1
600031,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,el consumo de drogas,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,disminuyo,4,5,5
600031,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,el consumo de drogas,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,5,5,5
600032,3,3,3,3,siguio igual,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,desempleo,no sabe,no sabe,no sabe,aumento,aumento,aumento,aumento,aumento,disminuyo,no sabe,5,4,4
600033,2,2,3,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,5,falta de educacion,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,aumento,aumento,disminuyo,disminuyo,aumento,5,5,5
600033,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,5,falta de educacion,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,aumento,aumento,disminuyo,disminuyo,aumento,5,5,5
600034,1,2,2,2,aumento,no,inseguro,no frecuenta parques,inseguro,no toma transporte publico,no frecuenta puentes y peatonales,5,falta de educacion,aumento,aumento,no sabe,disminuyo,disminuyo,aumento,aumento,disminuyo,no sabe,aumento,5,5,5
600034,2,2,5,5,disminuyo,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,5,falta de educacion,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,5,5,9
600035,2,2,2,2,disminuyo,si,inseguro,no frecuenta parques,inseguro,no toma transporte publico,no frecuenta puentes y peatonales,5,el consumo de drogas,disminuyo,aumento,no sabe,disminuyo,disminuyo,aumento,disminuyo,disminuyo,disminuyo,aumento,5,5,5
600036,2,3,2,2,disminuyo,si,inseguro,seguro,seguro,seguro,no frecuenta puentes y peatonales,2,el consumo de drogas,no sabe,no sabe,no sabe,no sabe,disminuyo,no sabe,no sabe,no sabe,no sabe,no sabe,5,5,5
600037,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,5,falta de educacion,no sabe,no sabe,no sabe,no sabe,disminuyo,aumento,no sabe,no sabe,no sabe,no sabe,5,5,5
600038,3,3,3,3,siguio igual,si,seguro,seguro,seguro,seguro,seguro,3,falta de vigilacia policial,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,aumento,aumento,5,3,3
600038,3,3,3,3,siguio igual,no,inseguro,seguro,inseguro,inseguro,seguro,3,falta de educacion,aumento,disminuyo,aumento,aumento,aumento,aumento,no sabe,aumento,disminuyo,no sabe,1,2,3
600038,3,4,5,3,siguio igual,si,inseguro,seguro,seguro,seguro,seguro,3,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,5,5
600039,2,2,5,5,disminuyo,si,inseguro,no frecuenta parques,inseguro,no toma transporte publico,seguro,5,falta de educacion,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,5,5,5
600039,2,2,2,2,disminuyo,si,inseguro,no frecuenta parques,inseguro,no toma transporte publico,no frecuenta puentes y peatonales,5,falta de educacion,aumento,aumento,no sabe,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,5,5,5
600039,2,2,5,5,disminuyo,si,inseguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,2,falta de educacion,aumento,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,aumento,no sabe,no sabe,5,5,5
600040,2,2,3,3,disminuyo,si,inseguro,inseguro,seguro,seguro,seguro,5,falta de educacion,aumento,aumento,aumento,aumento,disminuyo,aumento,aumento,disminuyo,aumento,no sabe,4,3,2
600040,2,3,3,3,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,3,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,aumento,no sabe,4,4,4
600040,2,2,2,2,disminuyo,si,inseguro,seguro,seguro,inseguro,seguro,2,desempleo,aumento,aumento,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,3,3,4
600041,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,disminuyo,no sabe,no sabe,no sabe,no sabe,5,4,5
600041,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,5,3,3
600042,2,3,3,2,disminuyo,no,inseguro,seguro,seguro,seguro,no frecuenta puentes y peatonales,5,dar papaya,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,no sabe,no sabe,5,2,1
600042,2,3,3,2,disminuyo,no,inseguro,seguro,seguro,seguro,no frecuenta puentes y peatonales,5,dar papaya,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,no sabe,no sabe,5,2,1
600043,2,3,2,2,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,5,desempleo,aumento,no sabe,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,3,4,4
600043,2,3,2,2,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,5,desempleo,disminuyo,no sabe,no sabe,disminuyo,disminuyo,no sabe,no sabe,disminuyo,no sabe,no sabe,4,4,3
600043,2,3,2,3,disminuyo,no,inseguro,seguro,no frecuenta lugares comerciales,seguro,seguro,4,desempleo,disminuyo,no sabe,no sabe,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,no sabe,no sabe,4,5,9
