Sexo,Edad,Ocupacion,DIRECTORIO_new,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia,Victima_hurto_residencial_2022,Hurto_objeto_personal_2022,Victima_delito_cibernetico_2022,Implicado_violencia_fisica_2022,Victima_fraude_2022,Victima_amenazas_2022,Victima_acoso_laboral_2022,Victima_acoso_escolar_2022,Victima_secuestro_2022,Victima_invasiones_domiciliarias_2022,Victima_desplazamiento_2022,Victima_acoso_callejero_2022,Victima_acoso_sexual_2022,se_siente_inseguro_barrio,se_siente_inseguro_ciudad,la_seguridad_en_los_ultimos_6_meses,puede_ser_victima_delito,inseguro_trabajo/estudio,inseguro_parques,inseguro_lugares_comerciales,inseguro_transporte_publico,inseguro_puentes_peatonales,causa_delincuencia,hurto_celulares_aumento,ladrones_pandillas_aumento,vendedores_droga_aumento,pobreza_aumento,desempleo_aumento,inmigrante_aumento,venta_compra_articulos_robados,habitantes_calle_aumento,prostitucion_aumento,extorcion_aumento,satisfecho_vida,satisfecho_situacion_economica,satisfecho_situacion_laboral,Ciudad,Clase,Estrato,homicidio,extorsiones,vandalismo,consumo_drogas,consumo_alcohol,agresiones_vecinos,violaciones_sexuales,acoso_sexual,presencia_pandillas,expendedores_droga,guerrilla,hurto
Hombre,35,Trabajando,633177111,Nada,Poco,Nada,Nada,Nada,Poco,Nada,Nada,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,inseguro,seguro,disminuyo,no,inseguro,seguro,seguro,no toma transporte publico,inseguro,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,aumento,no sabe,3,4,4,Bogotá,Cabecera,2.0,si,no,no,si,si,no,no,no,si,si,no,si
Hombre,48,Buscando trabajo,633179111,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,5,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,si,inseguro,inseguro,inseguro,seguro,seguro,desempleo,aumento,aumento,disminuyo,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,3,9,Bogotá,Cabecera,2.0,no,no,si,si,si,no,no,no,no,no,no,no
Mujer,63,Oficios del hogar,633180111,Mucho,Poco,Mucho,Nada,Nada,Nada,Nada,Nada,4,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,falta de educacion,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,4,3,2,Bogotá,Cabecera,3.0,no,no,no,no,si,no,no,no,no,si,no,si
Mujer,42,Trabajando,633181111,Mucho,Poco,Mucho,Poco,Mucho,Nada,Nada,Nada,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,4,2,2,Bogotá,Cabecera,3.0,no,no,no,si,si,no,no,no,no,no,no,si
Hombre,80,Pensionado,633184111,Poco,Nada,Poco,Nada,Nada,Poco,Poco,Poco,2,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,no frecuenta parques,inseguro,seguro,seguro,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,3,3,9,Bogotá,Cabecera,4.0,no,no,no,si,no,no,no,no,no,no,no,si
Mujer,41,Trabajando,633186111,Nada,Nada,Nada,Nada,Nada,Poco,Nada,Nada,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,aumento,no,seguro,seguro,seguro,seguro,seguro,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5,Bogotá,Cabecera,3.0,no,no,no,no,no,no,no,no,no,no,no,no
Mujer,65,Oficios del hogar,633187111,Mucho,Mucho,Nada,Poco,Poco,Poco,Poco,Poco,4,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,aumento,aumento,aumento,5,4,4,Bogotá,Cabecera,3.0,no,no,no,no,no,no,no,no,no,no,no,si
Hombre,58,Trabajando,633188111,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,si,inseguro,seguro,seguro,seguro,seguro,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5,Bogotá,Cabecera,3.0,no,no,no,no,no,no,no,no,si,no,no,si
Mujer,70,Pensionado,633192111,Mucho,Poco,Nada,Mucho,Mucho,Poco,Mucho,Poco,5,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,inseguro,inseguro,seguro,inseguro,desempleo,disminuyo,aumento,no sabe,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,3,9,Bogotá,Cabecera,3.0,no,no,no,no,no,no,no,no,no,no,no,no
Hombre,42,Trabajando,633193111,Poco,Poco,Nada,Poco,Nada,Poco,Poco,Nada,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,disminuyo,si,inseguro,seguro,seguro,seguro,seguro,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,3,4,Bogotá,Cabecera,3.0,no,si,si,si,si,no,no,no,si,si,no,si
Hombre,55,Trabajando,633194111,Poco,Poco,Nada,Poco,Poco,Poco,Nada,Poco,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,seguro,seguro,no toma transporte publico,seguro,otro,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,4,4,Bogotá,Cabecera,3.0,no,si,si,si,si,no,no,no,no,no,no,si
Hombre,45,Trabajando,633195111,Mucho,Mucho,Poco,Poco,Poco,Poco,Mucho,Poco,3,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,inseguro,seguro,no toma transporte publico,inseguro,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,3,3,Bogotá,Cabecera,3.0,no,no,no,si,si,si,no,no,no,no,no,si
Hombre,34,Trabajando,633196111,Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,Poco,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,aumento,no,inseguro,seguro,inseguro,seguro,seguro,falta de educacion,aumento,aumento,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,2,2,2,Bogotá,Cabecera,3.0,no,no,no,no,no,no,no,no,si,no,no,si
Mujer,75,Oficios del hogar,633197111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,no frecuenta parques,seguro,no toma transporte publico,seguro,falta de educacion,disminuyo,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,3,3,3,Bogotá,Cabecera,3.0,no,no,no,no,no,no,no,no,no,no,no,si
Mujer,76,Pensionado,633198111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,no frecuenta parques,seguro,no toma transporte publico,inseguro,falta de vigilacia policial,aumento,no sabe,no sabe,no sabe,aumento,disminuyo,aumento,aumento,no sabe,disminuyo,4,3,4,Bogotá,Cabecera,3.0,no,no,no,no,no,no,no,no,no,no,no,no
Hombre,57,Trabajando,633199111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,no,seguro,seguro,seguro,seguro,seguro,desempleo,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,aumento,no sabe,no sabe,5,4,4,Bogotá,Cabecera,3.0,no,no,no,no,no,no,no,no,si,no,no,si
Mujer,53,Trabajando,633200111,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,no,inseguro,seguro,seguro,seguro,seguro,el consumo de drogas,aumento,aumento,aumento,no sabe,no sabe,aumento,no sabe,aumento,no sabe,no sabe,3,3,3,Bogotá,Cabecera,3.0,no,no,no,no,no,no,no,no,no,no,no,no
Hombre,42,Trabajando,633201111,Poco,Nada,Poco,Nada,Nada,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,aumento,no,inseguro,seguro,seguro,seguro,seguro,el consumo de drogas,no sabe,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,4,4,4,Bogotá,Cabecera,3.0,no,no,no,no,si,no,no,no,no,no,no,si
Mujer,25,Trabajando,633202111,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,aumento,no,inseguro,seguro,seguro,seguro,seguro,falta de educacion,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,2,2,2,Bogotá,Cabecera,3.0,no,no,no,no,no,no,no,no,no,no,no,si
Mujer,29,Trabajando,633203111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,seguro,seguro,seguro,seguro,seguro,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5,Bogotá,Cabecera,6.0,si,si,si,si,si,no,no,no,no,no,no,si
Hombre,48,Trabajando,633205111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,disminuyo,no,inseguro,seguro,inseguro,seguro,seguro,desempleo,disminuyo,disminuyo,disminuyo,disminuyo,aumento,aumento,disminuyo,aumento,disminuyo,disminuyo,4,3,4,Bogotá,Cabecera,3.0,no,no,no,si,si,no,no,no,no,no,no,si
Mujer,25,Trabajando,633206111,Poco,Nada,Poco,Nada,Nada,Nada,Nada,Nada,2,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,si,inseguro,seguro,seguro,seguro,seguro,desempleo,aumento,aumento,disminuyo,aumento,aumento,aumento,disminuyo,disminuyo,disminuyo,disminuyo,5,5,5,Bogotá,Cabecera,3.0,si,no,si,si,si,no,no,no,no,no,no,no
