Zona,Sexo,Localidad,Edad,Estrato,Considera_pobre,Nivel_seguridad_barrio,Pandillas,Atracos_callejeros,Robo_vehiculo,Asalto_casas,Asalto_tiendas,Homicidio,Trafico_drogas,Violaciones,Vandalismo,Guerrilla,Drogadiccion,Nivel_seguridad,Victima_delito,Transporte_habitual
Occidental,Hombre,Engativá,77.0,2.0,1,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seguro,0,Caminar
Centro,Hombre,Candelaria,33.0,2.0,1,Inseguro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inseguro,1,Bicicleta
Sur oriental,Hombre,San Cristóbal,39.0,2.0,0,Seguro,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Inseguro,1,Moto particular
Centro,Hombre,Los Mártires,29.0,2.0,0,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Seguro,0,Transmilenio
Occidental,Hombre,Fontibón,39.0,4.0,0,Inseguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Inseguro,0,Moto particular
Occidental,Hombre,Kennedy,37.0,3.0,1,Seguro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inseguro,0,Taxi
Sur occidental,Hombre,Tunjuelito,63.0,2.0,0,Inseguro,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Inseguro,1,Carro
Sur oriental,Hombre,Rafael Uribe Uribe,37.0,2.0,0,Neutro,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Neutro,0,Bus/Buseta/Micro/Ejecutivo/Colectivo (colectivos de Soacha y otros municipios)
Centro oriental,Hombre,Barrios Unidos,62.0,3.0,1,Inseguro,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Inseguro,0,Bicicleta
Sur occidental,Hombre,Ciudad Bolívar,64.0,1.0,1,Inseguro,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Neutro,0,Transmilenio
Sur occidental,Hombre,Ciudad Bolívar,20.0,1.0,1,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inseguro,0,Caminar
Sur occidental,Hombre,Bosa,57.0,1.0,0,Neutro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seguro,0,Moto particular
Norte,Hombre,Usaquén,53.0,2.0,0,Seguro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seguro,0,Transmilenio
Norte,Hombre,Suba,30.0,3.0,0,Seguro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutro,0,Caminar
Norte,Hombre,Usaquén,49.0,5.0,0,Neutro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inseguro,0,Plataformas digitales
Centro,Hombre,Puente Aranda,62.0,3.0,0,Neutro,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Inseguro,0,Bus/Buseta/Micro/Ejecutivo/Colectivo (colectivos de Soacha y otros municipios)
Sur oriental,Hombre,Antonio Nariño,40.0,3.0,0,Inseguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Inseguro,0,Moto particular
Norte,Hombre,Usaquén,54.0,3.0,0,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Seguro,1,Transmilenio
Occidental,Hombre,Engativá,32.0,3.0,0,Seguro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutro,0,Bicicleta
Occidental,Hombre,Fontibón,63.0,4.0,0,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Inseguro,0,Moto particular
Norte,Hombre,Usaquén,50.0,4.0,0,Neutro,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Inseguro,0,Bicicleta
Centro,Hombre,Puente Aranda,42.0,3.0,0,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Seguro,1,Caminar
Sur occidental,Hombre,Ciudad Bolívar,28.0,1.0,0,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutro,0,Bicicleta
Sur oriental,Hombre,Rafael Uribe Uribe,63.0,3.0,0,Inseguro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inseguro,0,Transmilenio
Centro oriental,Hombre,Teusaquillo,44.0,3.0,0,Neutro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seguro,0,SITP
Centro,Hombre,Candelaria,20.0,3.0,0,Inseguro,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Inseguro,1,SITP
Sur occidental,Hombre,Bosa,48.0,2.0,0,Seguro,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inseguro,0,Transmilenio
Occidental,Hombre,Kennedy,19.0,2.0,0,Neutro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Neutro,1,Transmilenio
Centro,Hombre,Los Mártires,66.0,3.0,0,Seguro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inseguro,0,Transmilenio
Sur occidental,Hombre,Ciudad Bolívar,20.0,1.0,0,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Seguro,0,Taxi
Centro,Hombre,Puente Aranda,48.0,3.0,0,Inseguro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inseguro,1,SITP
Centro,Hombre,Santa Fe,69.0,2.0,0,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inseguro,0,SITP
Sur oriental,Hombre,Antonio Nariño,59.0,3.0,0,Neutro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutro,0,Bicicleta
Norte,Hombre,Usaquén,21.0,4.0,0,Inseguro,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neutro,1,Bicicleta
Centro oriental,Hombre,Teusaquillo,55.0,4.0,0,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Seguro,0,Caminar
Centro oriental,Hombre,Teusaquillo,30.0,3.0,0,Seguro,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Inseguro,0,Transmilenio
Centro,Hombre,Santa Fe,18.0,2.0,1,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Inseguro,0,Caminar
Sur occidental,Hombre,Ciudad Bolívar,20.0,2.0,0,Neutro,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seguro,0,Caminar
Centro oriental,Hombre,Chapinero,34.0,4.0,0,Seguro,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Seguro,0,Taxi
Sur oriental,Hombre,San Cristóbal,50.0,2.0,0,Inseguro,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Seguro,1,SITP
Centro,Hombre,Los Mártires,30.0,2.0,0,Seguro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Seguro,0,SITP
Occidental,Hombre,Fontibón,31.0,3.0,0,Neutro,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Neutro,1,Bicicleta
