DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia
607105,237,1,1,1,914.91372692,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607105,237,2,1,2,914.91372692,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607105,237,3,1,3,914.91372692,Nada,Poco,Nada,Nada,Nada,Nada,Nada,Nada,2,2,0
607106,237,1,1,1,1323.0071795,Poco,Poco,Poco,Nada,Nada,Poco,Poco,Poco,3,3,0
607106,237,2,1,2,1323.0071795,Poco,Poco,Poco,Nada,Nada,Poco,Poco,Poco,3,3,0
607106,237,3,1,3,1323.0071795,Poco,Poco,Nada,Nada,Nada,Nada,Poco,Nada,2,2,0
607107,237,1,1,1,938.22386928,Nada,Nada,Poco,Nada,Nada,Nada,Poco,Poco,2,2,0
607107,237,2,1,2,938.22386928,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0
607107,237,3,1,3,938.22386928,Poco,Poco,Poco,Poco,Nada,Nada,Mucho,Mucho,2,3,0
607108,237,1,1,1,1222.8441413,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607108,237,2,1,2,1222.8441413,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607108,237,3,1,3,1222.8441413,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607109,237,1,1,1,962.94079776,Poco,Poco,Poco,Nada,Poco,Poco,Poco,Poco,2,3,0
607109,237,2,1,2,962.94079776,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607109,237,3,1,3,962.94079776,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
607109,237,4,1,4,962.94079776,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607110,237,1,1,1,1191.2477405,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,5,5,0
607110,237,2,1,2,1191.2477405,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
607110,237,3,1,3,1191.2477405,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,2,3,0
607111,237,1,1,1,744.66757201,Nada,Nada,Nada,Nada,Nada,Mucho,Poco,Mucho,1,1,0
607111,237,2,1,2,744.66757201,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,2,2,0
607112,237,1,1,1,949.87638238,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,3,0
607112,237,2,1,2,949.87638238,Nada,Poco,Nada,Poco,Poco,Mucho,Poco,Mucho,3,3,0
607113,237,1,1,1,985.02214531,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Mucho,2,2,0
607113,237,2,1,2,985.02214531,Poco,Poco,Poco,Poco,Nada,Nada,Poco,Poco,3,3,0
607114,237,1,1,1,824.51066076,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607115,237,1,1,1,990.41348681,Poco,Nada,Poco,Nada,Nada,Nada,Nada,Mucho,3,1,0
607115,237,2,1,2,990.41348681,Nada,Nada,Poco,Nada,Nada,Nada,Nada,Nada,3,4,0
607115,237,3,1,3,990.41348681,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607116,237,1,1,1,981.24915615,Poco,Mucho,Mucho,Poco,Mucho,Mucho,Poco,Poco,3,3,0
607116,237,2,1,2,981.24915615,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,3,4,0
607117,237,1,1,1,1258.4665348,Poco,Nada,Poco,Mucho,Nada,Poco,Poco,Nada,3,1,0
607117,237,2,1,2,1258.4665348,Mucho,Mucho,Nada,Nada,Nada,Poco,Poco,Mucho,3,3,0
607118,237,1,1,1,921.23340219,Poco,Poco,Mucho,Mucho,Mucho,Poco,Poco,Poco,3,3,0
607118,237,2,1,2,921.23340219,Poco,Poco,Poco,Mucho,Mucho,Poco,Poco,Poco,3,3,0
607118,237,3,1,3,921.23340219,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,3,3,0
607119,237,1,1,1,1046.9395576,Poco,Mucho,Nada,Nada,Nada,Nada,Nada,Poco,1,2,0
607119,237,2,1,2,1046.9395576,Poco,Mucho,Poco,Poco,Nada,Poco,Poco,Poco,2,2,0
607120,237,1,1,1,987.88763366,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607120,237,3,1,3,987.88763366,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,3,0
607120,237,4,1,4,987.88763366,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607120,237,5,1,5,987.88763366,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607120,237,6,1,6,987.88763366,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607121,237,1,1,1,1401.6966897,Mucho,Nada,Nada,Nada,Nada,Mucho,Mucho,Mucho,5,5,0
607121,237,2,1,2,1401.6966897,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Nada,Mucho,3,3,0
607121,237,4,1,4,1401.6966897,Mucho,Mucho,Poco,Poco,Nada,Mucho,Mucho,Mucho,4,4,0
607121,237,5,1,5,1401.6966897,Mucho,Nada,Mucho,Mucho,Nada,Mucho,Mucho,Mucho,4,4,0
607122,237,1,1,1,1017.0226403,Poco,Nada,Nada,Nada,Nada,Mucho,Poco,Poco,3,3,0
607123,237,1,1,1,1288.1204569,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,1,0
607123,237,2,1,2,1288.1204569,Poco,Poco,Nada,Nada,Nada,Poco,Nada,Nada,2,2,0
607123,237,3,1,3,1288.1204569,Poco,Nada,Nada,Nada,Nada,Poco,Nada,Poco,3,3,0
607124,237,1,1,1,988.91278391,Nada,Nada,Nada,Nada,Nada,Mucho,Nada,Nada,1,1,0
607124,237,2,1,2,988.91278391,Poco,Poco,Nada,Nada,Nada,Mucho,Nada,Poco,2,1,0
607124,237,3,1,3,988.91278391,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0
607125,237,1,1,1,881.41962156,Poco,Nada,Nada,Nada,Nada,Poco,Nada,Nada,1,1,0
607126,237,1,1,1,979.35513507,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,3,0
607127,237,1,1,1,830.90441075,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0
607127,237,2,1,2,830.90441075,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,3,0
607128,237,1,1,1,556.54469601,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,2,0
607129,237,1,1,1,1149.1925029,Nada,Poco,Nada,Poco,Nada,Poco,Nada,Poco,3,3,0
607129,237,2,1,2,1149.1925029,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0
607130,237,1,1,1,999.19595974,Poco,Poco,Poco,Nada,Nada,Nada,Nada,Poco,2,2,0
607130,237,2,1,2,999.19595974,Poco,Poco,Poco,Poco,Poco,Nada,Nada,Nada,2,2,0
607131,237,1,1,1,877.59093074,Poco,Poco,Poco,Poco,Poco,Mucho,Mucho,Poco,4,4,0
607132,237,1,1,1,1557.4787483,Poco,Poco,Nada,Nada,Nada,Poco,Poco,Poco,4,2,0
607132,237,2,1,2,1557.4787483,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0
607132,237,4,1,4,1557.4787483,Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,Poco,3,3,0
607132,237,5,1,5,1557.4787483,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0
607133,237,1,1,1,155.37128505,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,1
607133,237,2,1,2,155.37128505,Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,Poco,3,3,0
607133,237,3,1,3,155.37128505,Poco,Poco,Poco,Nada,Poco,Poco,Poco,Poco,3,2,0
607134,237,1,1,1,262.4028086,Poco,Poco,Mucho,Poco,Poco,Mucho,Poco,Poco,4,3,0
607135,237,1,1,1,5670.1104262,Poco,Poco,Poco,Mucho,Mucho,Poco,Poco,Poco,3,3,0
607135,237,2,1,2,5670.1104262,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607135,237,3,1,3,5670.1104262,Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,Mucho,3,4,0
607135,237,4,1,4,5670.1104262,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0
607135,237,6,1,6,5670.1104262,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,3,0
607136,237,1,1,1,162.51798891,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,1,0
607136,237,2,1,2,162.51798891,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,1,0
607136,237,3,1,3,162.51798891,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,2,0
607137,237,1,1,1,171.46511057,Poco,Poco,Mucho,Nada,Nada,Nada,Poco,Poco,3,1,0
607138,237,1,1,1,116.10779592,Poco,Poco,Poco,Poco,Nada,Nada,Poco,Nada,3,3,0
607140,237,1,1,1,298.94293807,Mucho,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,3,4,0
607140,237,2,1,2,298.94293807,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,1,0
607140,237,3,1,3,298.94293807,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,1,0
607140,237,4,1,4,298.94293807,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,1,0
607141,237,1,1,1,129.65809583,Nada,Nada,Poco,Nada,Nada,Nada,Nada,Nada,2,2,0
607141,237,2,1,2,129.65809583,Poco,Poco,Poco,Nada,Poco,Poco,Poco,Poco,3,3,0
607142,237,1,1,1,175.27844568,Poco,Nada,Poco,Poco,Poco,Nada,Poco,Poco,3,1,0
607142,237,2,1,2,175.27844568,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607143,237,1,1,1,181.98933635,Poco,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,4,4,1
607143,237,2,1,2,181.98933635,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607143,237,3,1,3,181.98933635,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,3,3,1
607144,237,1,1,1,149.49384259,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,5,0
607145,237,1,1,1,140.22275654,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
607145,237,2,1,2,140.22275654,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,4,4,0
607146,237,1,1,1,171.46511057,Nada,Poco,Poco,Nada,Nada,Poco,Nada,Poco,5,1,0
607147,237,1,1,1,191.13515959,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,1,0
607148,237,1,1,1,119.59507407,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607149,237,1,1,1,152.97132981,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607150,237,1,1,1,100.59923296,Poco,Nada,Poco,Poco,Nada,Poco,Poco,Poco,1,2,0
607151,237,1,1,1,103.72647666,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0
607151,237,2,1,2,103.72647666,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0
607152,237,1,1,1,338.98615188,Poco,Mucho,Mucho,Poco,Nada,Mucho,Poco,Poco,3,2,0
607152,237,2,1,2,338.98615188,Poco,Mucho,Poco,Nada,Poco,Poco,Poco,Poco,3,3,0
607152,237,3,1,3,338.98615188,Poco,Nada,Poco,Poco,Poco,Mucho,Poco,Poco,3,3,0
607152,237,4,1,4,338.98615188,Poco,Nada,Poco,Poco,Poco,Mucho,Poco,Poco,3,4,0
607153,237,1,1,1,824.57686192,Poco,Nada,Poco,Poco,Nada,Poco,Poco,Nada,3,1,1
607153,237,2,1,2,824.57686192,Nada,Nada,Poco,Nada,Nada,Nada,Nada,Nada,3,2,1
607153,237,3,1,3,824.57686192,Poco,Nada,Poco,Poco,Poco,Poco,Nada,Nada,3,4,1
607154,237,1,1,1,122.89446532,Poco,Poco,Poco,Poco,Poco,Nada,Poco,Poco,3,2,0
607154,237,2,1,2,122.89446532,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,1,0
607155,237,1,1,1,152.97132981,Poco,Mucho,Mucho,Nada,Nada,Mucho,Poco,Poco,3,2,0
607156,237,1,1,1,815.30173304,Poco,Poco,Poco,Nada,Poco,Poco,Poco,Poco,3,3,0
607156,237,2,1,2,815.30173304,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607157,237,1,1,1,123.29623672,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,3,4,0
607157,237,2,1,2,123.29623672,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
607158,237,2,1,2,594.58600507,Poco,Poco,Poco,Poco,Poco,Nada,Nada,Nada,3,2,0
607158,237,3,1,3,594.58600507,Nada,Nada,Poco,Nada,Nada,Nada,Nada,Nada,3,2,0
607158,237,4,1,4,594.58600507,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,4,5,0
607158,237,1,1,1,594.58600507,Nada,Mucho,Nada,Nada,Nada,Poco,Nada,Nada,1,1,0
607159,237,1,1,1,333.09447188,Poco,Poco,Mucho,Mucho,Mucho,Poco,Poco,Poco,4,3,0
607159,237,2,1,2,333.09447188,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Mucho,4,4,0
607159,237,3,1,3,333.09447188,Mucho,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,4,4,0
607159,237,4,1,4,333.09447188,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607160,237,1,1,1,422.54562132,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,3,4,0
607161,237,1,1,1,338.93998193,Poco,Mucho,Poco,Poco,Poco,Poco,Mucho,Poco,4,2,0
607161,237,2,1,2,338.93998193,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607161,237,3,1,3,338.93998193,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,4,4,0
607162,237,1,1,1,516.50786742,Poco,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,3,3,0
607162,237,2,1,2,516.50786742,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607162,237,3,1,3,516.50786742,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607162,237,4,1,4,516.50786742,Poco,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,3,3,0
607163,237,1,1,1,792.10234861,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,2,4,0
607163,237,2,1,2,792.10234861,Poco,Nada,Poco,Nada,Poco,Poco,Nada,Nada,4,3,0
607163,237,3,1,3,792.10234861,Poco,Nada,Poco,Nada,Nada,Nada,Nada,Nada,4,4,0
607164,237,1,1,1,128.01924219,Poco,Nada,Nada,Nada,Nada,Poco,Nada,Nada,2,1,0
607164,237,2,1,2,128.01924219,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,3,2,0
607164,237,5,1,5,128.01924219,Poco,Poco,Poco,Poco,Poco,Nada,Poco,Poco,3,2,0
607165,237,1,1,1,82.98118133,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Poco,2,3,0
607165,237,2,1,2,82.98118133,Poco,Nada,Nada,Poco,Poco,Poco,Poco,Poco,3,3,0
607166,237,1,1,1,122.37706385,Poco,Poco,Poco,Nada,Nada,Poco,Poco,Poco,3,3,0
607167,237,1,1,1,183.47258105,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607167,237,2,1,2,183.47258105,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607168,237,1,1,1,80.479386367,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,1,0
607169,237,1,1,1,123.12927299,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607169,237,2,1,2,123.12927299,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607170,237,1,1,1,123.12927299,Poco,Nada,Nada,Nada,Nada,Poco,Nada,Nada,1,2,0
607170,237,2,1,2,123.12927299,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,2,2,0
607171,237,1,1,1,225.56360941,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,2,0
607171,237,2,1,2,225.56360941,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,1,0
607172,237,1,1,1,971.49568861,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,1,1,0
607172,237,2,1,2,971.49568861,Poco,Nada,Poco,Nada,Nada,Nada,Nada,Nada,3,4,0
607173,237,1,1,1,456.39644142,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Poco,3,3,0
607173,237,2,1,2,456.39644142,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0
607173,237,3,1,3,456.39644142,Mucho,Mucho,Poco,Poco,Poco,Mucho,Poco,Poco,3,2,1
607173,237,4,1,4,456.39644142,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Poco,5,5,0
607174,237,1,1,1,95.67605926,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,5,3,0
607175,237,1,1,1,659.19293461,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0
607175,237,2,1,2,659.19293461,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,3,0
607175,237,3,1,3,659.19293461,Poco,Nada,Poco,Nada,Nada,Nada,Nada,Nada,4,4,0
607176,237,1,1,1,646.80485057,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
607176,237,2,1,2,646.80485057,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,3,4,0
607176,237,3,1,3,646.80485057,Poco,Poco,Poco,Nada,Nada,Nada,Nada,Nada,4,4,0
607177,237,1,1,1,1110.353624,Poco,Poco,Nada,Poco,Poco,Mucho,Poco,Poco,4,3,1
607177,237,2,1,2,1110.353624,Poco,Poco,Poco,Poco,Nada,Poco,Poco,Poco,3,3,0
607177,237,3,1,3,1110.353624,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,3,2,1
607177,237,4,1,4,1110.353624,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,2,0
607177,237,7,1,7,1110.353624,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607178,237,1,1,1,155.00827434,Poco,Nada,Nada,Nada,Nada,Poco,Nada,Nada,3,3,0
607178,237,2,1,2,155.00827434,Poco,Poco,Poco,Nada,Nada,Poco,Nada,Poco,2,2,0
607179,237,1,1,1,480.16547877,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,4,0
607180,237,1,1,1,3673.5877057,Poco,Nada,Poco,Poco,Nada,Nada,Nada,Nada,2,1,0
607181,237,1,1,1,98.315572256,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,2,0
607181,237,2,1,2,98.315572256,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,1,0
607182,237,1,1,1,1325.8383232,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0
607182,237,2,1,2,1325.8383232,Poco,Nada,Poco,Nada,Nada,Nada,Nada,Nada,1,1,0
607183,237,1,1,1,676.76057993,Poco,Poco,Poco,Nada,Poco,Poco,Poco,Poco,1,3,0
607183,237,2,1,2,676.76057993,Mucho,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,3,3,0
607184,237,1,1,1,679.73816492,Nada,Nada,Nada,Poco,Nada,Mucho,Poco,Poco,1,1,0
607184,237,2,1,2,679.73816492,Nada,Nada,Poco,Poco,Poco,Mucho,Poco,Poco,2,3,0
607185,237,1,1,1,1257.3460021,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0
607185,237,2,1,2,1257.3460021,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607186,237,1,1,1,95.67605926,Poco,Nada,Poco,Poco,Poco,Poco,Poco,Poco,3,3,1
607187,237,1,1,1,512.78074312,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,2,0
607188,237,1,1,1,137.17208845,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Mucho,Nada,5,5,0
607189,237,1,1,1,123.12927299,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607189,237,2,1,2,123.12927299,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Poco,3,2,0
607190,237,1,1,1,185.57272772,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607190,237,2,1,2,185.57272772,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,1,0
607190,237,3,1,3,185.57272772,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,5,5,0
607191,237,1,1,1,122.37706385,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607192,237,1,1,1,422.54562132,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,3,1,0
607193,237,1,1,1,1030.7210774,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,1
607193,237,2,1,2,1030.7210774,Poco,Nada,Poco,Poco,Nada,Nada,Nada,Nada,1,2,0
607193,237,3,1,3,1030.7210774,Poco,Poco,Poco,Nada,Nada,Nada,Nada,Nada,2,1,0
607194,237,1,1,1,82.98118133,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,3,4,0
607194,237,2,1,2,82.98118133,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607195,237,1,1,1,366.47971388,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,2,3,0
607195,237,2,1,2,366.47971388,Nada,Poco,Nada,Nada,Nada,Poco,Nada,Nada,3,2,0
607196,237,1,1,1,153.22954479,Mucho,Mucho,Nada,Nada,Nada,Poco,Poco,Nada,5,5,0
607197,237,1,1,1,240.16528313,Mucho,Poco,Nada,Nada,Nada,Poco,Nada,Nada,3,4,0
607197,237,2,1,2,240.16528313,Poco,Poco,Poco,Poco,Poco,Poco,Nada,Nada,3,3,0
607198,237,1,1,1,1698.6478092,Mucho,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,4,4,0
607198,237,2,1,2,1698.6478092,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607198,237,3,1,3,1698.6478092,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,1
607199,237,1,1,1,2182.3454833,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607200,237,1,1,1,1971.8924106,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607200,237,2,1,2,1971.8924106,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607200,237,5,1,5,1971.8924106,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607201,237,1,1,1,2388.149317,Mucho,Poco,Poco,Mucho,Mucho,Poco,Mucho,Mucho,3,3,0
607202,237,1,1,1,1595.6889583,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607202,237,2,1,2,1595.6889583,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607203,237,1,1,1,2226.5910352,Poco,Nada,Poco,Nada,Nada,Poco,Poco,Poco,3,1,1
607203,237,2,1,2,2226.5910352,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607203,237,3,1,3,2226.5910352,Poco,Nada,Poco,Poco,Poco,Poco,Poco,Nada,3,4,1
607204,237,1,1,1,2905.8128286,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607204,237,2,1,2,2905.8128286,Mucho,Poco,Poco,Poco,Nada,Poco,Poco,Poco,4,4,0
607205,237,1,1,1,1691.588074,Poco,Nada,Poco,Poco,Nada,Poco,Poco,Poco,3,3,0
607205,237,2,1,2,1691.588074,Poco,Nada,Poco,Nada,Nada,Mucho,Poco,Poco,3,2,0
607205,237,3,1,3,1691.588074,Poco,Nada,Poco,Poco,Nada,Poco,Poco,Poco,3,2,0
607206,237,1,1,1,2019.0730959,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607206,237,2,1,2,2019.0730959,Mucho,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,4,4,0
607206,237,3,1,3,2019.0730959,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607206,237,4,1,4,2019.0730959,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607207,237,1,1,1,1964.8815686,Nada,Nada,Poco,Nada,Nada,Poco,Poco,Poco,1,2,0
607207,237,2,1,2,1964.8815686,Nada,Nada,Nada,Nada,Nada,Poco,Poco,Poco,2,2,0
607208,237,1,1,1,1571.288748,Poco,Nada,Nada,Poco,Poco,Poco,Poco,Nada,3,3,1
607209,237,1,1,1,1917.7218304,Poco,Mucho,Nada,Poco,Poco,Poco,Poco,Poco,3,3,0
607209,237,2,1,2,1917.7218304,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,3,0
607209,237,3,1,3,1917.7218304,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607210,237,1,1,1,1876.8105007,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Poco,Poco,5,5,0
607210,237,2,1,2,1876.8105007,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607210,237,3,1,3,1876.8105007,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0
607211,237,1,1,1,2092.1852366,Poco,Mucho,Poco,Poco,Poco,Mucho,Poco,Mucho,3,3,0
607211,237,2,1,2,2092.1852366,Poco,Poco,Poco,Nada,Nada,Nada,Poco,Poco,4,4,0
607212,237,1,1,1,2146.3004799,Mucho,Mucho,Poco,Poco,Poco,Mucho,Mucho,Mucho,3,4,0
607212,237,2,1,2,2146.3004799,Mucho,Mucho,Poco,Mucho,Poco,Poco,Poco,Mucho,4,5,0
607213,237,1,1,1,1400.9462468,Poco,Nada,Poco,Nada,Nada,Poco,Poco,Poco,3,4,0
607214,237,1,1,1,2388.149317,Poco,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,4,4,1
607215,237,1,1,1,1693.5151057,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,2,0
607215,237,2,1,2,1693.5151057,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
607216,237,1,1,1,1593.8936983,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
607216,237,2,1,2,1593.8936983,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
