DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia
637700,237,1,1,1,69.506214054,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Mucho,4,4,0
637703,237,1,1,1,96.577488305,Nada,Nada,Nada,Nada,Nada,Poco,Poco,Poco,1,1,0
637703,237,2,1,2,96.577488305,Poco,Poco,Poco,Poco,Nada,Poco,Nada,Nada,2,3,0
637703,237,3,1,3,96.577488305,Nada,Poco,Nada,Nada,Nada,Nada,Poco,Poco,1,2,0
637703,237,4,1,4,96.577488305,Poco,Nada,Nada,Nada,Poco,Poco,Nada,Nada,3,2,0
637703,237,6,1,6,96.577488305,Poco,Poco,Poco,Poco,Nada,Nada,Nada,Nada,1,1,0
637704,237,1,1,1,166.50464628,Poco,Poco,Poco,Poco,Nada,Poco,Poco,Poco,2,3,0
637705,237,1,1,1,116.53147016,Poco,Nada,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
637706,237,1,1,1,121.53885703,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,2,2,0
637706,237,3,2,1,121.53885703,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0
637706,237,5,3,1,121.53885703,Poco,Nada,Poco,Nada,Nada,Nada,Nada,Nada,2,2,0
637706,237,6,3,2,121.53885703,Poco,Mucho,Poco,Nada,Nada,Poco,Nada,Nada,2,1,0
637706,237,7,3,3,121.53885703,Mucho,Mucho,Mucho,Nada,Nada,Poco,Poco,Nada,2,3,0
637706,237,8,3,4,121.53885703,Poco,Mucho,Poco,Poco,Poco,Nada,Nada,Nada,2,1,0
637707,237,1,1,1,79.532751755,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
637708,237,1,1,1,92.700499296,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,5,5,0
637708,237,2,1,2,92.700499296,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,5,5,0
637709,237,1,1,1,89.821722386,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
637709,237,2,1,2,89.821722386,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,4,4,0
637709,237,3,1,3,89.821722386,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,4,4,0
637709,237,4,1,4,89.821722386,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
637709,237,5,1,5,89.821722386,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
637710,237,1,1,1,100.13948141,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,4,4,0
637710,237,2,1,2,100.13948141,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,4,4,0
637710,237,3,1,3,100.13948141,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
637710,237,4,1,4,100.13948141,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,4,4,0
637711,237,3,1,3,107.73666407,Nada,Mucho,Poco,Nada,Poco,Nada,Nada,Nada,3,3,0
637711,237,4,1,4,107.73666407,Poco,Mucho,Poco,Poco,Poco,Mucho,Nada,Mucho,3,3,0
637711,237,1,1,1,107.73666407,Mucho,Mucho,Poco,Nada,Poco,Mucho,Poco,Mucho,3,3,0
637711,237,2,1,2,107.73666407,Mucho,Mucho,Poco,Poco,Poco,Mucho,Poco,Mucho,3,3,0
637712,237,1,1,1,86.724331062,Poco,Mucho,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,3,4,0
637712,237,2,1,2,86.724331062,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,4,4,0
