DIRECTORIO,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia
600055,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,4,5,0
600056,Poco,Poco,Poco,Poco,Poco,Nada,Nada,Poco,3,3,1
600056,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600057,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600057,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0
600058,Poco,Poco,Poco,Poco,Poco,Nada,Nada,Nada,3,1,0
600058,Poco,Poco,Poco,Poco,Nada,Poco,Nada,Nada,3,1,0
600058,Poco,Mucho,Nada,Poco,Poco,Poco,Poco,Nada,3,1,0
600058,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Nada,3,2,0
600058,Poco,Poco,Nada,Nada,Nada,Poco,Poco,Nada,5,4,0
600059,Mucho,Mucho,Mucho,Mucho,Mucho,Nada,Poco,Poco,4,4,0
600059,Mucho,Mucho,Mucho,Mucho,Mucho,Nada,Mucho,Mucho,4,4,0
600060,Mucho,Mucho,Poco,Poco,Nada,Nada,Nada,Poco,4,4,0
600060,Mucho,Mucho,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
600060,Poco,Poco,Poco,Poco,Poco,Poco,Nada,Poco,1,1,0
600060,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,3,4,0
600061,Mucho,Mucho,Poco,Poco,Nada,Poco,Mucho,Mucho,5,4,0
600061,Mucho,Poco,Poco,Nada,Nada,Poco,Mucho,Mucho,4,5,0
600061,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0
600062,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600062,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600062,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600063,Poco,Poco,Nada,Nada,Poco,Poco,Poco,Nada,2,2,0
600063,Mucho,Poco,Poco,Nada,Poco,Poco,Poco,Poco,2,2,0
600064,Poco,Mucho,Nada,Poco,Mucho,Poco,Nada,Poco,3,3,0
600064,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,5,0
600065,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Mucho,Mucho,4,3,0
600065,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Mucho,1,1,0
600065,Poco,Poco,Poco,Poco,Nada,Nada,Poco,Poco,3,3,0
600065,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,3,4,0
600066,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,1,1,0
600066,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,2,0
600066,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,1
600067,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,1,1
600067,Poco,Poco,Nada,Poco,Poco,Nada,Poco,Poco,1,1,0
600068,Poco,Poco,Nada,Poco,Poco,Mucho,Poco,Poco,3,4,0
600068,Mucho,Mucho,Nada,Nada,Nada,Poco,Mucho,Poco,5,4,0
600068,Poco,Poco,Nada,Nada,Nada,Poco,Poco,Poco,3,3,0
600069,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600069,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600070,Poco,Mucho,Poco,Poco,Poco,Mucho,Poco,Poco,4,3,0
600071,Poco,Nada,Nada,Nada,Poco,Nada,Nada,Nada,3,3,0
600071,Poco,Poco,Poco,Poco,Nada,Poco,Poco,Poco,3,3,0
600072,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600072,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600072,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600073,Poco,Nada,Poco,Poco,Nada,Nada,Nada,Nada,3,3,0
600073,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,1,0
600074,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,5,5,0
600074,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600075,Nada,Nada,Nada,Nada,Nada,Nada,Poco,Nada,3,3,0
600075,Poco,Poco,Poco,Poco,Nada,Poco,Poco,Nada,3,3,0
600075,Mucho,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
600076,Poco,Mucho,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0
600076,Nada,Nada,Nada,Nada,Nada,Poco,Nada,Nada,1,1,0
600076,Nada,Nada,Poco,Poco,Poco,Poco,Poco,Mucho,2,2,0
600077,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600078,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600078,Poco,Poco,Poco,Nada,Nada,Poco,Poco,Nada,2,3,0
600079,Poco,Nada,Poco,Poco,Nada,Poco,Nada,Nada,3,1,1
600080,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,3,1,0
600080,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,4,3,0
600081,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600082,Poco,Nada,Poco,Poco,Nada,Nada,Nada,Nada,2,3,0
600083,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,1
600083,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,1,2,0
600083,Mucho,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,3,3,1
600083,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,3,3,1
600084,Poco,Poco,Nada,Nada,Nada,Mucho,Nada,Poco,2,2,0
600085,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Nada,4,4,0
600085,Mucho,Poco,Nada,Poco,Poco,Nada,Mucho,Mucho,4,4,0
600085,Poco,Poco,Nada,Nada,Mucho,Nada,Mucho,Mucho,4,4,0
600086,Nada,Nada,Nada,Nada,Poco,Poco,Poco,Poco,2,2,0
600086,Poco,Nada,Nada,Poco,Nada,Poco,Poco,Poco,2,1,0
600086,Mucho,Poco,Nada,Nada,Poco,Poco,Poco,Poco,2,3,0
600086,Mucho,Poco,Nada,Nada,Nada,Nada,Nada,Nada,2,2,0
600086,Poco,Nada,Nada,Poco,Poco,Poco,Poco,Poco,2,2,0
600087,Poco,Nada,Nada,Nada,Nada,Mucho,Nada,Nada,1,1,0
600088,Poco,Poco,Poco,Poco,Poco,Nada,Nada,Nada,1,2,0
600088,Mucho,Poco,Nada,Poco,Poco,Poco,Poco,Poco,3,5,0
600088,Poco,Poco,Poco,Nada,Nada,Nada,Nada,Nada,3,4,0
600089,Poco,Poco,Nada,Poco,Nada,Nada,Poco,Nada,3,1,0
600090,Poco,Poco,Poco,Poco,Nada,Nada,Poco,Nada,1,1,0
600090,Nada,Nada,Poco,Poco,Poco,Poco,Poco,Poco,1,1,0
