DIRECTORIO,homicidio,extorsiones,vandalismo,consumo_drogas,consumo_alcohol,agresiones_vecinos,violaciones_sexuales,acoso_sexual,presencia_pandillas,expendedores_droga,guerrilla,hurto
600201,no,no,no,si,no,no,no,no,no,no,no,si
600202,si,no,si,si,si,no,no,no,no,no,no,si
600203,si,no,no,si,si,no,no,no,si,si,no,si
600204,si,no,si,si,si,no,no,no,si,si,no,si
600205,no,no,no,si,si,no,no,no,no,si,no,si
600206,no,no,no,no,no,no,no,no,no,no,no,no
600207,no,no,no,no,no,no,no,no,no,no,no,no
600208,no,no,no,si,no,no,no,no,si,no,no,si
600209,no,no,no,si,si,no,no,no,no,si,no,si
600210,no,no,si,si,si,si,no,no,si,si,no,si
600211,no,no,no,si,no,no,no,no,si,si,no,no
600212,no,no,si,si,no,no,no,no,si,si,no,si
600213,si,no,no,si,no,no,no,no,no,si,no,si
600214,no,no,no,no,no,no,no,no,no,no,no,no
600215,no,no,no,si,si,si,no,no,no,no,no,si
600216,no,no,no,si,no,no,no,no,si,no,no,si
600217,no,no,no,si,no,no,no,no,si,si,no,si
600218,no,no,no,no,no,no,no,no,no,no,no,no
600219,no,no,si,si,no,no,no,no,si,si,no,si
600220,no,no,si,si,si,si,no,no,si,si,no,si
600221,no,no,no,no,no,no,no,no,si,no,no,no
600222,no,no,no,si,no,no,no,no,si,no,no,si
600223,no,no,no,si,si,no,no,no,no,si,no,si
600224,no,no,no,si,no,no,no,no,no,no,no,no
600225,si,si,si,si,si,si,no,no,si,si,si,si
600226,no,no,no,no,no,no,no,no,no,no,no,si
600227,no,no,no,no,no,no,no,no,no,no,no,no
600228,no,no,no,si,si,si,no,no,no,no,no,no
600229,no,no,si,si,si,no,no,no,si,si,no,si
600230,no,si,si,si,si,no,no,no,si,si,no,si
600231,no,si,no,si,si,no,no,no,no,no,no,si
600232,si,si,no,si,si,si,no,no,no,no,no,si
600233,no,no,no,no,si,no,no,no,no,no,no,si
600234,no,no,no,si,si,no,no,no,no,no,no,si
600235,no,no,no,no,si,no,no,no,no,no,no,no
600236,no,no,no,si,si,no,no,no,no,no,no,si
600237,no,no,no,si,si,no,no,no,no,no,no,si
600238,si,no,si,si,si,si,no,si,no,si,no,si
600239,no,no,no,no,no,no,no,no,no,no,no,no
600240,no,no,no,no,si,no,no,no,no,no,no,no
600241,no,no,no,no,no,no,no,no,no,no,no,si
600242,no,no,no,no,no,no,no,no,no,no,no,si
600243,no,no,no,no,no,no,no,no,no,no,no,no
600244,no,no,no,no,no,no,no,no,no,no,no,no
600245,no,no,no,no,no,no,no,no,no,no,no,no
600246,no,no,no,no,si,no,no,no,no,no,no,no
600247,no,no,no,no,si,si,no,no,no,si,no,si
600248,no,no,no,si,si,no,no,no,no,no,no,si
600249,no,no,no,si,si,no,no,no,no,no,no,si
600250,no,no,no,si,si,no,no,no,no,no,no,si
600251,no,no,no,si,si,no,no,no,no,no,no,si
600254,no,no,no,no,si,si,no,no,no,no,no,no
600255,no,no,no,no,no,no,no,no,no,no,no,no
600256,no,no,no,no,no,no,no,no,no,no,no,no
600257,no,no,no,no,no,no,no,no,no,no,no,si
600258,no,no,no,no,no,no,no,no,no,no,no,no
600259,no,no,no,no,no,no,no,no,no,no,no,si
600260,no,no,no,no,no,no,no,no,no,no,no,no
