DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Ciudad,Clase,Estrato
600180,235,1,1,1,60.038198324,Villavicencio,Cabecera,3.0
600181,235,1,1,1,58.304439684,Villavicencio,Cabecera,4.0
600182,235,1,1,1,75.354223164,Villavicencio,Cabecera,3.0
600183,235,1,1,1,73.16751297,Villavicencio,Cabecera,1.0
600184,235,1,1,1,61.338845771,Villavicencio,Cabecera,1.0
600185,235,1,1,1,50.413257275,Villavicencio,Cabecera,6.0
600186,235,1,1,1,45.230110785,Villavicencio,Cabecera,6.0
600187,235,1,1,1,69.713306471,Villavicencio,Cabecera,1.0
600188,235,1,1,1,73.317034213,Villavicencio,Cabecera,3.0
600189,235,1,1,1,71.439687909,Villavicencio,Cabecera,3.0
600190,235,1,1,1,73.317034213,Villavicencio,Cabecera,3.0
600191,235,1,1,1,80.471965,Villavicencio,Cabecera,3.0
600192,235,1,1,1,53.838527298,Villavicencio,Cabecera,1.0
600193,235,1,1,1,63.804217533,Villavicencio,Cabecera,3.0
600194,235,1,1,1,63.75825531,Villavicencio,Cabecera,3.0
600195,235,1,1,1,54.630712181,Villavicencio,Cabecera,1.0
600196,235,1,1,1,80.353711153,Villavicencio,Cabecera,3.0
600197,235,1,1,1,54.56634745,Villavicencio,Cabecera,1.0
600198,235,1,1,1,76.951000721,Villavicencio,Cabecera,3.0
600199,235,1,1,1,72.484614291,Villavicencio,Cabecera,3.0
600200,235,1,1,1,91.725512678,Villavicencio,Cabecera,2.0
600201,235,1,1,1,94.000463097,Villavicencio,Cabecera,2.0
600202,235,1,1,1,73.438274994,Villavicencio,Cabecera,2.0
600203,235,1,1,1,153.06396802,Cucuta,Cabecera,2.0
600204,235,1,1,1,95.315354992,Ibague,Cabecera,2.0
600205,235,1,1,1,76.441887294,Ibague,Cabecera,2.0
600206,235,1,1,1,52.542571545,Ibague,Cabecera,3.0
600207,235,1,1,1,51.030957664,Ibague,Cabecera,3.0
600208,235,1,1,1,67.924372171,Ibague,Cabecera,2.0
600209,235,1,1,1,60.023194671,Ibague,Cabecera,2.0
600210,235,1,1,1,65.702608582,Ibague,Cabecera,2.0
600211,235,1,1,1,60.729584905,Ibague,Cabecera,2.0
600212,235,1,1,1,50.862880366,Ibague,Cabecera,2.0
600213,235,1,1,1,62.664168729,Ibague,Cabecera,2.0
600214,235,1,1,1,83.676689576,Ibague,Cabecera,2.0
600215,235,1,1,1,53.465697989,Ibague,Cabecera,2.0
600216,235,1,1,1,57.570050538,Ibague,Cabecera,1.0
600217,235,1,1,1,52.07240578,Ibague,Cabecera,2.0
600218,235,1,1,1,66.731510101,Ibague,Cabecera,2.0
600219,235,1,1,1,61.366875489,Ibague,Cabecera,2.0
600220,235,1,1,1,71.594688071,Ibague,Cabecera,2.0
600221,235,1,1,1,59.219579297,Ibague,Cabecera,1.0
600222,235,1,1,1,66.731510101,Ibague,Cabecera,1.0
600223,235,1,1,1,69.826371819,Ibague,Cabecera,2.0
600224,235,1,1,1,74.739291313,Ibague,Cabecera,2.0
600225,235,1,1,1,52.091742,Ibague,Cabecera,2.0
600226,235,1,1,1,100.75275445,Ibague,Cabecera,3.0
600227,235,1,1,1,100.75275445,Ibague,Cabecera,3.0
600228,235,1,1,1,289.43874339,0,Centro poblado y rur,2.0
600229,235,1,1,1,372.79305999,0,Centro poblado y rur,1.0
600230,235,1,1,1,208.69244109,0,Centro poblado y rur,1.0
600231,235,1,1,1,370.17131017,0,Centro poblado y rur,2.0
600232,235,1,1,1,288.43152108,0,Centro poblado y rur,2.0
600233,235,1,1,1,309.9167454,0,Centro poblado y rur,2.0
600234,235,1,1,1,145.11956969,0,Centro poblado y rur,1.0
600235,235,1,1,1,208.69244109,0,Centro poblado y rur,2.0
600236,235,1,1,1,227.61373506,0,Centro poblado y rur,1.0
600237,235,1,1,1,218.75269905,0,Centro poblado y rur,1.0
600238,235,1,1,1,227.36282479,0,Centro poblado y rur,1.0
600239,235,1,1,1,223.18206718,0,Centro poblado y rur,2.0
600240,235,1,1,1,288.43152108,0,Centro poblado y rur,2.0
600241,235,1,1,1,174.60726742,0,Centro poblado y rur,1.0
600242,235,1,1,1,511.40048408,0,Centro poblado y rur,1.0
600243,235,1,1,1,348.18267668,0,Centro poblado y rur,8.0
600244,235,1,1,1,145.11956969,0,Centro poblado y rur,1.0
600245,235,1,1,1,366.22115915,0,Centro poblado y rur,1.0
600246,235,1,1,1,580.47827877,0,Centro poblado y rur,1.0
600247,235,1,1,1,227.36282479,0,Centro poblado y rur,1.0
600248,235,1,1,1,1172.0980205,0,Cabecera,1.0
600249,235,1,1,1,1835.7044688,0,Cabecera,2.0
600250,235,1,1,1,1427.4375826,0,Cabecera,2.0
