DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1182S1;P1182S2;P1182S3;P1181S1;P1181S2;P3317S1;P3317S2;P3317S3;P3318;P1612S1;P1611S1;P1772;P3319S1;P3319S2;P3320;P3321;P3119;P3121;P3122S1;P3122S2;P3122S3;P3122S4;P3123;P3124;P3125S1;P3125S2;P3125S3;P3125S4;P3125S5;P3125S6;P3126;P3322;P3127;P3128S1;P3128S2;P3128S3;P3128S4;P3128S5;P3128S6;P3128S7;P3128S8;P3129;P3323S1;P3323S2;P3323S3;P3323S4;P3323S5;P3323S6;P3324S1;P3324S2;P3324S3;P3324S4;P3325S1;P3325S2;P3325S3;P3325S4;P3326S1;P3326S2;P3326S3;P3326S4;P3326S5;P3326S6;P3326S7;P3326S8;P3326S9;P3327S1;P3327S2;P3327S3
600015;237;2;1;2;530.31745682;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600016;237;1;1;1;851.75300538;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;3;3;3;3;3;3;3;3;3;4;3;3
600017;237;2;1;2;530.31745682;1;2;2;2;3;2;1;2;1;3;1;1;1;9;1;3;3;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;;;;;1;;;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600017;237;1;1;1;530.31745682;1;2;2;2;2;2;1;2;1;3;1;1;1;9;9;3;3;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;;;;;1;;;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600018;237;1;1;1;84.526358705;2;3;3;3;3;3;3;3;1;3;2;2;1;2;9;4;4;2;;;;;;;;;;;;;;2;3;;;1;;;;;;3;;;;;;2;;;;1;;;;;3;2;1;1;1;1;3;3;3;1;2;2
600018;237;2;1;2;84.526358705;2;3;3;3;3;3;3;3;2;;2;2;2;2;2;5;5;2;;;;;;;;;;;;;;2;3;;;1;1;;;;;2;;;;1;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600018;237;3;1;3;84.526358705;2;3;3;3;3;3;3;3;1;2;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;1;1;;;1;;;2;;;;1;;;;1;;;;;;;2;2;2;2;2;3;2;2;2;3;3;3
600019;237;1;1;1;236.41199915;2;3;3;3;3;3;3;3;2;;2;2;2;9;9;4;4;2;;;;;;;;;;;;;;2;4;1;;1;;;;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600019;237;2;1;2;236.41199915;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;5;5;2;;;;;;;;;;;;;;9;3;1;1;;;;;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600020;237;1;1;1;119.40161206;1;1;1;1;1;2;1;3;2;;2;2;2;1;2;4;4;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;1;2;1;2;2;2;3;3;3
600020;237;2;1;2;119.40161206;1;2;2;1;2;2;2;2;2;;2;2;2;9;2;4;4;2;;;;;;;;;;;;;;2;4;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600021;237;1;1;1;156.28816769;2;3;3;3;3;3;3;3;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;5;1;1;1;;;;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600021;237;2;1;2;156.28816769;2;3;3;3;3;3;3;3;1;3;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;1;;;;;;;2;;;1;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600022;237;1;1;1;138.55742758;2;2;3;3;3;1;2;2;2;;2;2;9;9;2;3;2;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;;;;1;;;;;;1;;;;;3;4;3;2;1;1;4;3;1;2;2;3
600022;237;2;1;2;138.55742758;2;2;2;2;3;1;3;2;2;;2;2;9;9;9;3;4;2;;;;;;;;;;;;;;2;1;1;;;;;;;;2;;;;1;;;1;;;;1;;;;3;2;2;1;1;1;3;3;1;1;2;3
600023;237;1;1;1;140.7221974;2;3;1;1;1;1;1;1;2;;2;2;2;9;2;3;4;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600024;237;1;1;1;161.1679695;2;1;2;2;2;1;2;2;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;2;1;;;;;;;;2;;;;1;;;;;;1;;;;;2;2;2;2;1;2;3;3;2;2;2;2
600025;237;1;1;1;148.90268676;1;2;1;2;2;2;2;2;1;5;1;1;1;1;1;5;5;2;;;;;;;;;;;;;;2;3;1;;;;1;;;;1;1;;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600025;237;2;1;2;148.90268676;1;1;1;1;1;1;1;2;1;5;1;2;1;1;1;5;5;2;;;;;;;;;;;;;;2;3;1;;1;;;1;;;2;1;;;1;;;;1;;;;;;;2;2;2;1;2;2;2;2;2;2;4;2
600025;237;3;1;3;148.90268676;2;2;2;2;2;2;2;2;1;4;1;2;2;1;1;4;4;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;3;2;2;2;2;4;3
600025;237;4;1;4;148.90268676;2;3;1;1;2;2;2;2;1;4;2;1;2;1;1;4;4;2;;;;;;;;;;;;;;2;4;1;;;;;;;;2;1;;;1;;;;;;1;;;;;2;2;3;2;2;3;2;2;2;4;4;4
600026;237;1;1;1;159.55595556;2;2;3;3;2;2;2;2;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;;;;;;;;3;;;;;;2;;;;1;;;;;3;2;2;1;1;1;4;3;2;2;3;1
600026;237;2;1;2;159.55595556;2;1;2;2;3;1;2;3;2;;2;2;2;9;9;3;4;2;;;;;;;;;;;;;;2;3;1;;;;;;;;3;;;;;;2;;;;1;;;;;4;2;2;2;2;2;3;3;1;3;3;4
600027;237;1;1;1;119.91353785;1;3;1;1;1;1;1;1;1;4;2;2;9;1;2;4;4;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;1;;;;;;1;;;;;2;2;2;1;2;2;2;2;2;3;3;4
600027;237;3;1;3;119.91353785;1;1;1;1;1;1;1;1;2;;2;2;9;9;1;4;4;2;;;;;;;;;;;;;;2;4;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600028;237;1;1;1;132.83744949;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;3;;1;1;;;;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600028;237;2;1;2;132.83744949;2;2;3;3;3;3;3;3;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;5;;1;1;;1;;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600029;237;1;1;1;109.53622432;2;1;2;2;2;2;2;2;2;;2;1;2;1;2;2;3;2;;;;;;;;;;;;;;2;2;1;;;;;1;;;2;;;;1;;;;;;1;;;;;2;3;2;1;1;1;3;4;2;3;3;3
600030;237;1;1;1;88.558299661;2;3;3;3;3;3;3;3;2;;1;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;1;;;;1;;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600030;237;2;1;2;88.558299661;2;3;3;3;3;3;3;3;1;3;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;9;4;1;1;;;;;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600031;237;1;1;1;112.03501327;2;3;3;3;3;3;3;3;1;3;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600031;237;2;1;2;112.03501327;3;3;3;3;3;3;3;3;2;;2;2;2;2;9;4;4;2;;;;;;;;;;;;;;2;4;;;;1;;;;;1;;;;1;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600032;237;1;1;1;107.445313;2;2;3;3;3;3;3;3;1;3;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;1;1;;;;;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600033;237;1;1;1;79.601074708;1;1;1;2;2;2;1;1;2;;2;1;9;1;1;4;4;2;;;;;;;;;;;;;;2;4;1;;;;;;;;2;1;;;1;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600033;237;2;1;2;79.601074708;1;1;1;1;2;3;1;1;2;;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;4;1;;;;;;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600034;237;1;1;1;79.601074708;1;2;2;2;2;3;2;2;2;;2;1;9;9;2;2;4;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;1;;;;;;1;;;;;2;2;2;2;2;2;3;3;2;2;2;2
600034;237;2;1;2;79.601074708;2;1;2;2;2;3;2;2;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;9;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;2;3;3;2;2;2;3
600035;237;1;1;1;109.53622432;1;1;2;2;2;3;1;2;2;;2;2;9;9;1;2;4;2;;;;;;;;;;;;;;2;4;1;;;;;;;;2;1;;;1;;;;;;1;;;;;2;2;2;2;2;2;3;3;2;3;4;4
600036;237;1;1;1;93.814798268;2;2;2;2;2;2;2;2;1;4;2;1;2;1;2;3;3;2;;;;;;;;;;;;;;2;2;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;3;2;2;3;3;2;2;3;4;4
600037;237;1;1;1;124.14999299;2;2;3;2;2;3;2;2;1;5;1;2;2;1;2;4;3;2;;;;;;;;;;;;;;1;4;1;;;;;;;;1;1;1;;;;;;;;1;;;;;1;2;1;2;2;3;2;2;2;4;4;4
600038;237;1;1;1;69.030462744;2;2;3;2;2;2;3;3;2;;2;2;9;1;2;1;3;2;;;;;;;;;;;;;;1;3;1;1;1;1;1;;;;2;1;1;1;;;;;;;1;;;;;2;1;2;2;1;2;2;2;2;3;3;4
600038;237;2;1;2;69.030462744;3;3;3;3;3;2;3;3;1;1;2;2;2;1;2;1;1;2;;;;;;;;;;;;;;2;1;1;1;1;;1;;;;3;1;;;1;;;;1;;;;;;;3;3;3;3;3;3;3;3;2;4;4;4
600038;237;3;1;3;69.030462744;1;3;3;2;3;2;3;3;1;1;2;1;1;1;1;4;4;1;;;1;;5;1;1;;;;;;1;1;4;1;1;;1;1;;;;2;1;;;1;;;;1;;;;;;;2;2;2;3;2;3;2;2;2;4;5;5
600039;237;1;1;1;69.738232858;2;2;2;2;2;2;2;2;1;3;2;2;2;2;2;3;2;2;;;;;;;;;;;;;;2;3;;1;1;;1;1;;;2;1;;;;;;;;;1;;;;;2;2;2;4;2;2;2;2;1;3;4;4
600039;237;2;1;2;69.738232858;2;2;2;2;2;2;2;2;1;3;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;1;1;1;1;1;1;;;3;1;;;;;;;;;1;;;;;2;2;2;2;2;4;3;2;1;3;3;3
600039;237;3;1;3;69.738232858;2;2;2;2;2;2;2;2;1;3;2;2;1;1;9;3;3;2;;;;;;;;;;;;;;9;3;1;1;1;1;1;1;;;2;;;;1;;;1;;;;1;;;;2;2;2;2;2;4;2;2;2;3;3;3
600040;237;1;1;1;53.652478095;2;2;3;3;3;2;2;2;1;2;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;1;;;1;;;;1;;;;2;2;2;3;2;2;2;3;2;3;3;3
