DIRECTORIO,Victima_hurto_residencial_2022,Hurto_objeto_personal_2022,Victima_delito_cibernetico_2022,Implicado_violencia_fisica_2022,Victima_fraude_2022,Victima_amenazas_2022,Victima_acoso_laboral_2022,Victima_acoso_escolar_2022,Victima_secuestro_2022,Victima_invasiones_domiciliarias_2022,Victima_desplazamiento_2022,Victima_acoso_callejero_2022,Victima_acoso_sexual_2022
600112,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600113,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600113,,0,0,0,0,0,0,0,0,0,0,0,0
600113,,0,0,0,0,0,0,0,0,0,0,0,0
600113,,0,0,0,0,0,0,0,0,0,0,0,0
600113,,0,0,0,0,0,0,0,0,0,0,0,0
600114,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600114,,0,0,0,0,0,0,0,0,0,0,0,0
600114,,0,0,0,0,0,0,0,0,0,0,0,0
600115,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600115,,0,0,0,0,0,0,0,0,0,0,0,0
600116,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600116,,0,0,0,0,0,0,0,0,0,0,0,0
600117,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600117,,0,0,0,0,0,0,0,0,0,0,0,0
600118,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600118,,0,0,0,0,0,0,0,0,0,0,0,0
600119,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600120,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600120,,0,0,0,0,0,0,0,0,0,0,0,0
600121,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600122,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600122,,0,0,0,0,0,0,0,0,0,0,0,0
600122,,0,0,0,0,0,0,0,0,0,0,0,0
600122,,0,0,0,0,0,0,0,0,0,0,0,0
600123,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600123,,0,0,0,0,0,0,0,0,0,0,0,0
600124,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600124,,0,0,0,0,0,0,0,0,0,0,0,0
600125,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600125,,0,0,0,0,0,0,0,0,0,0,0,0
600125,,0,0,0,0,0,0,0,0,0,0,0,0
600126,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600127,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600127,,0,0,0,0,0,0,0,0,0,0,0,0
600128,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600128,,0,0,0,0,0,0,0,0,0,0,0,0
600129,0.0,0,0,1,0,0,0,0,0,0,0,0,0
600130,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600131,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600131,,0,0,0,0,0,0,0,0,0,0,0,0
600132,,0,0,0,0,0,0,0,0,0,0,0,0
600132,0.0,0,1,0,0,0,0,0,0,0,0,0,0
600133,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600134,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600134,,0,0,0,0,0,0,0,0,0,0,0,0
600135,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600135,,0,0,0,0,0,0,0,0,0,0,0,0
600135,,0,0,0,0,0,0,0,0,0,0,0,0
600136,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600137,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600137,,0,0,0,0,0,0,0,0,0,0,0,0
600137,,0,0,0,0,0,0,0,0,0,0,0,0
600138,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600139,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600139,,0,0,0,0,0,0,0,0,0,0,0,0
600139,,0,0,0,0,0,0,0,0,0,0,0,0
600140,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600141,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600141,,0,0,0,0,0,0,0,0,0,0,0,0
600142,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600142,,0,0,0,0,0,0,0,0,0,0,0,0
600143,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600144,0.0,1,0,0,0,0,0,0,0,0,0,0,0
600144,,0,0,0,0,0,0,0,0,0,0,0,0
600144,,0,0,0,0,0,0,0,0,0,0,0,0
600145,0.0,0,0,0,0,0,0,0,0,0,0,0,0
